Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Skuntank,Poison/Dark,"Aftermath, Stench",103,93,67,71,61,84
Slaking,Normal,Truant,150,160,100,95,65,100
Slakoth,Normal,Truant,60,60,60,35,35,30
Slowbro,Water/Psychic,"Oblivious, Own Tempo",95,75,110,100,80,30
Slowking,Water/Psychic,"Oblivious, Own Tempo",95,75,80,100,110,30
Slowpoke,Water/Psychic,"Oblivious, Own Tempo",90,65,65,40,40,15
Slugma,Fire,"Flame Body, Magma Armor",40,40,40,70,40,20
Smeargle,Normal,"Own Tempo, Technician",55,20,35,20,45,75
Smoochum,Ice/Psychic,"Forewarn, Oblivious",45,30,15,85,65,65
Sneasel,Dark/Ice,"Inner Focus, Keen Eye",55,95,55,35,75,115
Snorlax,Normal,"Immunity, Thick Fat",160,110,65,65,110,30
Snorunt,Ice,"Ice Body, Inner Focus",50,50,50,50,50,50
Snover,Grass/Ice,Snow Warning,60,62,50,62,60,40
Snubbull,Normal,"Intimidate, Run Away",60,80,50,40,40,30
Solrock,Rock/Psychic,Levitate,70,95,85,55,65,70
Spearow,Normal/Flying,Keen Eye,40,60,30,31,31,70
Spheal,Ice/Water,"Ice Body, Thick Fat",70,40,50,55,50,25
Spinarak,Bug/Poison,"Insomnia, Swarm",40,60,40,40,40,30
Spinda,Normal,"Own Tempo, Tangled Feet",60,60,60,60,60,60
Spiritomb,Ghost/Dark,Pressure,50,92,108,92,108,35
Spoink,Psychic,"Own Tempo, Thick Fat",60,25,35,70,80,60
Squirtle,Water,Torrent,44,48,65,50,64,43
Stantler,Normal,"Frisk, Intimidate",73,95,62,85,65,85
Staraptor,Normal/Flying,Intimidate,85,120,70,50,50,100
Staravia,Normal/Flying,Intimidate,55,75,50,40,40,80
Starly,Normal/Flying,Keen Eye,40,55,30,30,30,60
Starmie,Water/Psychic,"Illuminate, Natural Cure",60,75,85,100,85,115
Staryu,Water,"Illuminate, Natural Cure",30,45,55,70,55,85
Steelix,Steel/Ground,"Rock Head, Sturdy",75,85,200,55,65,30
Stunky,Poison/Dark,"Aftermath, Stench",63,63,47,41,41,74
Sudowoodo,Rock,"Rock Head, Sturdy",70,100,115,30,65,30
Suicune,Water,Pressure,100,75,115,90,115,85
Sunflora,Grass,"Chlorophyll, Solar Power",75,75,55,105,85,30
Sunkern,Grass,"Chlorophyll, Solar Power",30,30,30,30,30,30
Surskit,Bug/Water,Swift Swim,40,30,32,50,52,65
Swablu,Normal/Flying,Natural Cure,45,40,60,40,75,50
Swalot,Poison,"Liquid Ooze, Sticky Hold",100,73,83,73,83,55
Swampert,Water/Ground,Torrent,100,110,90,85,90,60
Swellow,Normal/Flying,Guts,60,85,60,50,50,125
Swinub,Ice/Ground,"Oblivious, Snow Cloak",50,50,40,30,30,50
Taillow,Normal/Flying,Guts,40,55,30,30,30,85
Tangela,Grass,"Chlorophyll, Leaf Guard",65,55,115,100,40,60
Tangrowth,Grass,"Chlorophyll, Leaf Guard",100,100,125,110,50,50
Tauros,Normal,"Anger Point, Intimidate",75,100,95,40,70,110
Teddiursa,Normal,"Pickup, Quick Feet",60,80,50,50,50,40
Tentacool,Water/Poison,"Clear Body, Liquid Ooze",40,40,35,50,100,70
Tentacruel,Water/Poison,"Clear Body, Liquid Ooze",80,70,65,80,120,100
Togekiss,Normal/Flying,"Hustle, Serene Grace",85,50,95,120,115,80
Togepi,Normal,"Hustle, Serene Grace",35,20,65,40,65,20
Togetic,Normal/Flying,"Hustle, Serene Grace",55,40,85,80,105,40
Torchic,Fire,Blaze,45,60,40,70,50,45
Torkoal,Fire,White Smoke,70,85,140,85,70,20
Torterra,Grass/Ground,Overgrow,95,109,105,75,85,56
Totodile,Water,Torrent,50,65,64,44,48,43
Toxicroak,Poison/Fighting,"Anticipation, Dry Skin",83,106,65,86,65,85
Trapinch,Ground,"Arena Trap, Hyper Cutter",45,100,45,45,45,10
Treecko,Grass,Overgrow,40,45,35,65,55,70
Tropius,Grass/Flying,"Chlorophyll, Solar Power",99,68,83,72,87,51
Turtwig,Grass,Overgrow,55,68,64,45,55,31
Typhlosion,Fire,Blaze,78,84,78,109,85,100
Tyranitar,Rock/Dark,Sand Stream,100,134,110,95,100,61
Tyrogue,Fighting,"Guts, Steadfast",35,35,35,35,35,35
Umbreon,Dark,Synchronize,95,65,110,60,130,65
Unown,Psychic,Levitate,48,72,48,72,48,48
Ursaring,Normal,"Guts, Quick Feet",90,130,75,75,75,55
Uxie,Psychic,Levitate,75,75,130,75,130,95
Vaporeon,Water,Water Absorb,130,65,60,110,95,65
Venomoth,Bug/Poison,"Shield Dust, Tinted Lens",70,65,60,90,75,90
Venonat,Bug/Poison,"Compound Eyes, Tinted Lens",60,55,50,40,55,45
Venusaur,Grass/Poison,Overgrow,80,82,83,100,100,80
Vespiquen,Bug/Flying,Pressure,70,80,102,80,102,40
Vibrava,Ground/Dragon,Levitate,50,70,50,50,50,70
Victreebel,Grass/Poison,Chlorophyll,80,105,65,100,60,70
Vigoroth,Normal,Vital Spirit,80,80,80,55,55,90
Vileplume,Grass/Poison,Chlorophyll,75,80,85,100,90,50
Volbeat,Bug,"Illuminate, Swarm",65,73,55,47,75,85
Voltorb,Electric,"Soundproof, Static",40,30,50,55,55,100
Vulpix,Fire,Flash Fire,38,41,40,50,65,65
Wailmer,Water,"Oblivious, Water Veil",130,70,35,70,35,60
Wailord,Water,"Oblivious, Water Veil",170,90,45,90,45,60
Walrein,Ice/Water,"Ice Body, Thick Fat",110,80,90,95,90,65
Wartortle,Water,Torrent,59,63,80,65,80,58
Weavile,Dark/Ice,Pressure,70,120,65,45,85,125
Weedle,Bug/Poison,Shield Dust,40,35,30,20,20,50
Weepinbell,Grass/Poison,Chlorophyll,65,90,50,85,45,55
Weezing,Poison,Levitate,65,90,120,85,70,60
Whiscash,Water/Ground,"Anticipation, Oblivious",110,78,73,76,71,60
Whismur,Normal,Soundproof,64,51,23,51,23,28
Wigglytuff,Normal,Cute Charm,140,70,45,75,50,45
Wingull,Water/Flying,Keen Eye,40,30,30,55,30,85
Wobbuffet,Psychic,Shadow Tag,190,33,58,33,58,33
Wooper,Water/Ground,"Damp, Water Absorb",55,45,45,25,25,15
Wormadam,Bug/Grass,Anticipation,60,59,85,79,105,36
Wormadam-Sandy,Bug/Ground,Anticipation,60,79,105,59,85,36
Wormadam-Trash,Bug/Steel,Anticipation,60,69,95,69,95,36
Wurmple,Bug,Shield Dust,45,45,35,20,30,20
Wynaut,Psychic,Shadow Tag,95,23,48,23,48,23
Xatu,Psychic/Flying,"Early Bird, Synchronize",65,75,70,95,70,95
Yanma,Bug/Flying,"Compound Eyes, Speed Boost",65,65,45,75,45,95
Yanmega,Bug/Flying,"Speed Boost, Tinted Lens",86,76,86,116,56,95
Zangoose,Normal,Immunity,73,115,60,60,60,90
Zapdos,Electric/Flying,Pressure,90,90,85,125,90,100
Zigzagoon,Normal,Pickup,38,30,41,30,41,60
Zubat,Poison/Flying,Inner Focus,40,45,35,30,40,55
